No. Pesanan,Status Pesanan,Alasan Pembatalan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,Metode Pembayaran,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Returned quantity,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Nama Gudang,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Ongkos Kirim Pengembalian Barang,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,Username (Pembeli),Nama Penerima,No. Telepon,Alamat Pengiriman,Kota/Kabupaten,Provinsi,Waktu Pesanan Selesai
SP765232343293,Selesai,,,SHP93792407831,Standar,Pick-up,2023-06-23 18:48:02,2023-06-22 22:48:02,2023-06-21 18:48:02,2023-06-21 20:17:02,QRIS,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Medan,0,0,0,0,0,0,0,0,18000,18000,0,72000,18000,,,tari_purnama837,Eka Gunawan,8443485295,"Jl. Ahmad Yani No. 115, Jakarta Selatan",Jakarta Selatan,DKI Jakarta,2023-06-25 19:48:02
SP387870278306,Dibatalkan,Pembeli meminta pembatalan,Dibatalkan,,Instant,Pick-up,2023-06-24 03:28:13,2023-06-23 06:28:13,2023-06-22 03:28:13,,Dana,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,48000,3,0,144000,33000,13200,19800,0.15,3,0.45,Gudang Bandung,0,1000,0,0,0,0,1000,0,0,0,0,0,18000,,,laras_hartono967,Fajar Purnama,8149753411,"Jl. Sudirman No. 194, Bogor",Bogor,Jawa Barat,
SP492553259142,Selesai,,,SHP59001458779,Standar,Pick-up,2023-06-24 14:39:20,2023-06-23 10:39:20,2023-06-22 14:39:20,2023-06-22 15:30:20,OVO,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Bandung,0,0,0,0,0,0,0,0,22000,22000,0,76000,22000,Tolong dikemas rapi,,laras_wijaya749,Yuni Kurniawan,8856535232,"Jl. Gatot Subroto No. 111, Jakarta Timur",Jakarta Timur,DKI Jakarta,2023-06-27 15:39:20
SP907711249039,Dibatalkan,Pembayaran gagal,Dibatalkan,,Standar,Pick-up,2023-06-24 16:07:50,2023-06-23 13:07:50,2023-06-22 16:07:50,,COD,GDS-SPR-MAN-20,Gendes Feminine Wash Spray Mango 20ml,GDS-SPR-MAN-20,Spray 20ml - Mango,29000,28000,2,0,56000,2000,0,2000,0.08,2,0.16,Gudang Bandung,0,0,0,0,0,0,0,0,0,0,0,0,15000,Kemas bubble wrap,,wati_gunawan30,Nina Kusuma,8998996511,"Jl. Diponegoro No. 27, Tangerang Selatan",Tangerang Selatan,Banten,
SP806568191049,Selesai,,,SHP22555550126,Hemat,Pick-up,2023-06-24 17:08:26,2023-06-23 17:08:26,2023-06-22 17:08:26,2023-06-22 17:28:26,QRIS,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,54000,2,0,108000,10000,0,10000,0.15,2,0.3,Gudang Medan,0,0,0,0,0,0,0,0,18000,18000,0,126000,18000,Kemas bubble wrap,,fitri_sari860,Fajar Hartono,8666829052,"Jl. Sudirman No. 104, Jakarta Utara",Jakarta Utara,DKI Jakarta,2023-06-26 21:08:26
SP304888716274,Selesai,,,SHP88084569840,Standar,Antar ke counter,2023-06-24 17:32:31,2023-06-23 15:32:31,2023-06-22 17:32:31,2023-06-22 19:18:31,Kartu Kredit,GDS-FOA-VAN-20,Gendes Feminine Wash Foam Vanilla 20ml,GDS-FOA-VAN-20,Foam 20ml - Vanilla,29000,26000,1,0,26000,3000,0,3000,0.08,1,0.08,Gudang Medan,0,2000,0,0,0,0,2000,0,22000,22000,0,46000,22000,Jangan sampai bocor,,rizky_gunawan962,Sri Nugraha,8739862214,"Jl. Merdeka No. 91, Jakarta Pusat",Jakarta Pusat,DKI Jakarta,2023-06-27 19:32:31
SP706506136027,Selesai,,,SHP43791148531,Instant,Pick-up,2023-06-24 19:04:35,2023-06-23 19:04:35,2023-06-22 19:04:35,2023-06-22 20:07:35,COD,GDS-SPR-VAN-20,Gendes Feminine Wash Spray Vanilla 20ml,GDS-SPR-VAN-20,Spray 20ml - Vanilla,29000,29000,2,0,58000,0,0,0,0.08,2,0.16,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,22000,22000,0,80000,22000,Tolong dikemas rapi,,yoga_anggraini579,Nadia Nugraha,8744203594,"Jl. Sudirman No. 27, Bogor",Bogor,Jawa Barat,2023-06-26 23:04:35
SP626120181850,Selesai,,,SHP67579565339,Express,Antar ke counter,2023-06-24 21:58:56,2023-06-23 22:58:56,2023-06-22 21:58:56,2023-06-23 00:13:56,ShopeePay,GDS-FOA-BUB-20,Gendes Feminine Wash Foam Bubblegum 20ml,GDS-FOA-BUB-20,Foam 20ml - Bubblegum,29000,26000,1,0,26000,3000,0,3000,0.08,1,0.08,Gudang Surabaya,0,0,0,0,0,0,0,0,22000,22000,0,48000,22000,Kemas bubble wrap,,yuni_anggraini910,Risa Purnama,8183025853,"Jl. Sudirman No. 108, Magelang",Magelang,Jawa Tengah,2023-07-01 02:58:56
SP475070338611,Selesai,,,SHP93968231303,Hemat,Antar ke counter,2023-06-24 22:13:55,2023-06-23 20:13:55,2023-06-22 22:13:55,2023-06-22 23:54:55,COD,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,54000,2,0,108000,10000,0,10000,0.15,2,0.3,Gudang Jakarta Selatan,0,2000,0,0,0,0,2000,0,22000,22000,0,128000,22000,,,vera_hartono499,Hendra Cahyani,8558167592,"Jl. Ahmad Yani No. 138, Salatiga",Salatiga,Jawa Tengah,2023-06-28 02:13:55
SP163274916767,Dibatalkan,Pembayaran gagal,Dibatalkan,,Standar,Pick-up,2023-06-24 22:53:35,2023-06-23 19:53:35,2023-06-22 22:53:35,,ShopeePay,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,59000,1,0,59000,0,0,0,0.15,1,0.15,Gudang Bandung,0,0,0,0,0,0,0,0,0,0,0,0,22000,,,rizky_putri395,Vera Nugraha,8292421959,"Jl. Gatot Subroto No. 191, Gowa",Gowa,Sulawesi Selatan,
SP541195056913,Selesai,,,SHP49029037964,Express,Antar ke counter,2023-06-25 22:04:55,2023-06-25 01:04:55,2023-06-23 22:04:55,2023-06-23 23:14:55,OVO,GDS-SPR-MAN-60,Gendes Feminine Wash Spray Mango 60ml,GDS-SPR-MAN-60,Spray 60ml - Mango,59000,56000,1,0,56000,3000,0,3000,0.15,1,0.15,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,8000,8000,0,64000,8000,Tolong dikemas rapi,,rizky_putri909,Yuni Purnama,8530153030,"Jl. Sudirman No. 76, Pasuruan",Pasuruan,Jawa Timur,2023-07-01 01:04:55
SP599589593742,Selesai,,,SHP56248439316,Express,Pick-up,2023-06-26 10:22:38,2023-06-25 12:22:38,2023-06-24 10:22:38,2023-06-24 11:02:38,Kartu Kredit,GDS-SPR-BUB-20,Gendes Feminine Wash Spray Bubblegum 20ml,GDS-SPR-BUB-20,Spray 20ml - Bubblegum,29000,29000,1,0,29000,0,0,0,0.08,1,0.08,Gudang Medan,0,2000,0,0,0,0,2000,0,8000,8000,0,35000,8000,Kemas bubble wrap,,wati_permata329,Sri Permata,8182991269,"Jl. Diponegoro No. 69, Makassar",Makassar,Sulawesi Selatan,2023-06-28 15:22:38
SP117580518539,Selesai,,,SHP94567999337,Express,Pick-up,2023-06-26 11:44:03,2023-06-25 13:44:03,2023-06-24 11:44:03,2023-06-24 12:43:03,Transfer Bank,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,49000,1,0,49000,10000,4000,6000,0.15,1,0.15,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,8000,8000,0,57000,8000,,,budi_permata769,Citra Putri,8682682217,"Jl. Sudirman No. 164, Gresik",Gresik,Jawa Timur,2023-07-02 15:44:03
SP478004892515,Selesai,,,SHP13202994696,Standar,Pick-up,2023-06-26 20:46:48,2023-06-25 20:46:48,2023-06-24 20:46:48,2023-06-24 22:59:48,Transfer Bank,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,43000,1,0,43000,16000,6400,9600,0.15,1,0.15,Gudang Bandung,0,1000,0,0,0,0,1000,0,12000,12000,0,54000,12000,Kemas bubble wrap,,dewi_susanto647,Citra Sari,8870322007,"Jl. Sudirman No. 144, Jakarta Pusat",Jakarta Pusat,DKI Jakarta,2023-06-28 21:46:48
SP303300890197,Selesai,,,SHP49034261854,Hemat,Antar ke counter,2023-06-27 10:49:06,2023-06-26 07:49:06,2023-06-25 10:49:06,2023-06-25 13:19:06,GoPay,GDS-FOA-BUB-20,Gendes Feminine Wash Foam Bubblegum 20ml,GDS-FOA-BUB-20,Foam 20ml - Bubblegum,29000,29000,1,0,29000,0,0,0,0.08,1,0.08,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,15000,15000,0,44000,15000,Kemas bubble wrap,,hendra_putri428,Arif Cahyani,8060480224,"Jl. Merdeka No. 108, Bekasi",Bekasi,Jawa Barat,2023-06-28 13:49:06
SP903038850112,Selesai,,,SHP81444909754,Instant,Pick-up,2023-06-27 17:45:13,2023-06-26 13:45:13,2023-06-25 17:45:13,2023-06-25 18:48:13,Kartu Kredit,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,53000,1,0,53000,6000,0,6000,0.15,1,0.15,Gudang Surabaya,0,1000,5000,0,0,0,1000,0,18000,18000,0,65000,18000,,,yuni_sari733,Risa Lestari,8165562388,"Jl. Gatot Subroto No. 136, Salatiga",Salatiga,Jawa Tengah,2023-06-29 18:45:13
SP254307344331,Selesai,,,SHP97689017833,Hemat,Antar ke counter,2023-06-27 18:55:58,2023-06-26 17:55:58,2023-06-25 18:55:58,2023-06-25 19:00:58,ShopeePay,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,47000,2,0,94000,24000,9600,14400,0.15,2,0.3,Gudang Jakarta Selatan,10000,1000,5000,0,0,0,1000,0,22000,22000,0,100000,22000,,,dewi_pratama120,Hendra Cahyani,8047947199,"Jl. Merdeka No. 55, Cimahi",Cimahi,Jawa Barat,2023-06-29 19:55:58
SP744560421634,Selesai,,,SHP49899594523,Instant,Antar ke counter,2023-06-27 22:46:53,2023-06-27 02:46:53,2023-06-25 22:46:53,2023-06-26 01:02:53,COD,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,55000,1,0,55000,4000,0,4000,0.15,1,0.15,Gudang Jakarta Selatan,0,2000,5000,0,0,0,2000,0,22000,22000,0,70000,22000,Tolong dikemas rapi,,mira_pratama565,Eka Kurniawan,8472839516,"Jl. Gatot Subroto No. 56, Jakarta Barat",Jakarta Barat,DKI Jakarta,2023-06-29 03:46:53
SP995088416340,Selesai,,,SHP81979954724,Instant,Antar ke counter,2023-06-27 23:29:05,2023-06-27 03:29:05,2023-06-25 23:29:05,2023-06-26 00:21:05,GoPay,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Medan,0,0,0,0,0,0,0,0,18000,18000,0,72000,18000,,,reni_cahyani383,Laras Wijaya,8582282801,"Jl. Diponegoro No. 56, Tabanan",Tabanan,Bali,2023-06-30 04:29:05
SP651882720593,Selesai,,,SHP97658153128,Standar,Pick-up,2023-06-28 12:10:59,2023-06-27 12:10:59,2023-06-26 12:10:59,2023-06-26 13:45:59,Kartu Kredit,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,55000,1,0,55000,4000,0,4000,0.15,1,0.15,Gudang Jakarta Selatan,0,2000,0,0,0,0,2000,0,22000,22000,0,75000,22000,Kemas bubble wrap,,vera_rahayu706,Hendra Kurniawan,8744959752,"Jl. Merdeka No. 60, Yogyakarta",Yogyakarta,Jawa Tengah,2023-07-01 16:10:59
SP605554319150,Selesai,,,SHP84193575693,Hemat,Pick-up,2023-06-28 20:03:32,2023-06-28 00:03:32,2023-06-26 20:03:32,2023-06-26 22:14:32,ShopeePay,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,51000,1,0,51000,8000,3200,4800,0.15,1,0.15,Gudang Surabaya,10000,0,5000,0,0,0,0,0,15000,15000,0,51000,15000,Kemas bubble wrap,,mega_sari437,Arif Cahyani,8267511997,"Jl. Gatot Subroto No. 66, Jakarta Timur",Jakarta Timur,DKI Jakarta,2023-07-02 00:03:32
SP359530992056,Selesai,,,SHP93878084550,Express,Pick-up,2023-06-28 21:12:07,2023-06-27 18:12:07,2023-06-26 21:12:07,2023-06-26 23:09:07,Dana,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,52000,1,0,52000,7000,2800,4200,0.15,1,0.15,Gudang Jakarta Selatan,5000,0,5000,0,0,0,0,0,15000,15000,0,57000,15000,,,rina_lestari131,Bagas Wijaya,8016301597,"Jl. Ahmad Yani No. 45, Tabanan",Tabanan,Bali,2023-07-02 01:12:07
SP382464074313,Selesai,,,SHP81418560968,Hemat,Antar ke counter,2023-06-29 10:41:20,2023-06-28 12:41:20,2023-06-27 10:41:20,2023-06-27 12:06:20,Dana,GDS-SPR-BUB-20,Gendes Feminine Wash Spray Bubblegum 20ml,GDS-SPR-BUB-20,Spray 20ml - Bubblegum,29000,29000,1,0,29000,0,0,0,0.08,1,0.08,Gudang Medan,0,0,0,0,0,0,0,0,22000,22000,0,51000,22000,,,nina_susanto199,Dian Rahayu,8334801537,"Jl. Ahmad Yani No. 96, Malang",Malang,Jawa Timur,2023-07-02 15:41:20
SP634454642567,Pengembalian Dana/Barang,,Pengembalian,SHP15982678721,Express,Pick-up,2023-06-30 13:41:06,2023-06-29 09:41:06,2023-06-28 13:41:06,2023-06-28 15:08:06,Kartu Kredit,GDS-SPR-HAZ-60,Gendes Feminine Wash Spray Hazelnut 60ml,GDS-SPR-HAZ-60,Spray 60ml - Hazelnut,59000,49000,3,3,147000,30000,12000,18000,0.15,3,0.45,Gudang Surabaya,10000,0,0,0,0,0,0,0,15000,15000,15000,15000,15000,,,dito_pratama891,Citra Lestari,8536499119,"Jl. Ahmad Yani No. 182, Jakarta Barat",Jakarta Barat,DKI Jakarta,2023-07-02 18:41:06
SP962643285859,Selesai,,,SHP57115146908,Hemat,Pick-up,2023-07-01 09:36:43,2023-06-30 07:36:43,2023-06-29 09:36:43,2023-06-29 11:39:43,OVO,GDS-FOA-BUB-20,Gendes Feminine Wash Foam Bubblegum 20ml,GDS-FOA-BUB-20,Foam 20ml - Bubblegum,29000,25000,2,0,50000,8000,3200,4800,0.08,2,0.16,Gudang Bandung,10000,0,0,0,0,0,0,0,22000,22000,0,62000,22000,Kemas bubble wrap,,arif_lestari352,Fajar Setiawan,8582126264,"Jl. Ahmad Yani No. 156, Cilegon",Cilegon,Banten,2023-07-07 12:36:43
SP170887887356,Selesai,,,SHP92034111192,Standar,Pick-up,2023-07-01 11:10:50,2023-06-30 07:10:50,2023-06-29 11:10:50,2023-06-29 12:46:50,QRIS,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,55000,2,0,110000,8000,0,8000,0.15,2,0.3,Gudang Medan,0,0,5000,0,0,0,0,0,18000,18000,0,123000,18000,,,yuni_handayani611,Nina Sari,8944149253,"Jl. Merdeka No. 110, Jakarta Pusat",Jakarta Pusat,DKI Jakarta,2023-07-05 14:10:50
SP628438604476,Selesai,,,SHP56300314226,Standar,Pick-up,2023-07-01 12:36:38,2023-06-30 15:36:38,2023-06-29 12:36:38,2023-06-29 14:05:38,GoPay,GDS-FOA-HAZ-60,Gendes Feminine Wash Foam Hazelnut 60ml,GDS-FOA-HAZ-60,Foam 60ml - Hazelnut,59000,48000,2,0,96000,22000,8800,13200,0.15,2,0.3,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,22000,22000,0,118000,22000,,,nadia_handayani409,Tika Nugraha,8343687715,"Jl. Gatot Subroto No. 145, Bogor",Bogor,Jawa Barat,2023-07-03 16:36:38
SP750086000851,Selesai,,,SHP37254892739,Hemat,Antar ke counter,2023-07-01 12:55:14,2023-06-30 11:55:14,2023-06-29 12:55:14,2023-06-29 14:40:14,QRIS,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,47000,1,0,47000,12000,4800,7200,0.15,1,0.15,Gudang Medan,0,2000,5000,0,0,0,2000,0,8000,8000,0,48000,8000,Jangan sampai bocor,,reni_cahyani221,Ayu Putri,8154773494,"Jl. Ahmad Yani No. 170, Magelang",Magelang,Jawa Tengah,2023-07-03 13:55:14
SP397824237009,Selesai,,,SHP40510856656,Hemat,Pick-up,2023-07-01 18:38:18,2023-06-30 22:38:18,2023-06-29 18:38:18,2023-06-29 20:08:18,COD,GDS-SPR-GRA-20,Gendes Feminine Wash Spray Grape 20ml,GDS-SPR-GRA-20,Spray 20ml - Grape,29000,26000,1,0,26000,3000,0,3000,0.08,1,0.08,Gudang Medan,0,0,0,0,0,0,0,0,12000,12000,0,38000,12000,Kemas bubble wrap,,nadia_susanto800,Yoga Setiawan,8573952328,"Jl. Sudirman No. 96, Binjai",Binjai,Sumatera Utara,2023-07-03 21:38:18
SP963955795480,Selesai,,,SHP16023485254,Express,Pick-up,2023-07-01 21:24:03,2023-07-01 01:24:03,2023-06-29 21:24:03,2023-06-29 22:48:03,ShopeePay,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,51000,2,0,102000,16000,6400,9600,0.15,2,0.3,Gudang Surabaya,0,1000,5000,0,0,0,1000,0,22000,22000,0,118000,22000,,,andi_kusuma122,Nadia Kurniawan,8347040714,"Jl. Gatot Subroto No. 152, Jakarta Barat",Jakarta Barat,DKI Jakarta,2023-07-03 01:24:03
SP147221851138,Selesai,,,SHP55405988951,Standar,Pick-up,2023-07-01 21:33:34,2023-07-01 01:33:34,2023-06-29 21:33:34,2023-06-29 22:41:34,QRIS,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,51000,2,0,102000,16000,6400,9600,0.15,2,0.3,Gudang Bandung,10000,2000,0,0,0,0,2000,0,18000,18000,0,108000,18000,,,yoga_wibowo8,Tari Lestari,8170396101,"Jl. Gatot Subroto No. 90, Deli Serdang",Deli Serdang,Sumatera Utara,2023-07-04 00:33:34
SP755844637572,Selesai,,,SHP68166725054,Standar,Antar ke counter,2023-07-01 22:45:02,2023-06-30 22:45:02,2023-06-29 22:45:02,2023-06-30 00:22:02,GoPay,GDS-SPR-BUB-20,Gendes Feminine Wash Spray Bubblegum 20ml,GDS-SPR-BUB-20,Spray 20ml - Bubblegum,29000,24000,1,0,24000,5000,2000,3000,0.08,1,0.08,Gudang Bandung,0,1000,0,0,0,0,1000,0,8000,8000,0,31000,8000,,,nadia_sari518,Tari Sari,8159389676,"Jl. Ahmad Yani No. 91, Kutai",Kutai,Kalimantan Timur,2023-07-05 02:45:02
SP690703939591,Selesai,,,SHP27729999213,Hemat,Antar ke counter,2023-07-01 23:36:25,2023-06-30 19:36:25,2023-06-29 23:36:25,2023-06-30 02:03:25,COD,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,54000,2,0,108000,10000,0,10000,0.15,2,0.3,Gudang Bandung,0,0,0,0,0,0,0,0,15000,15000,0,123000,15000,,,nina_nugraha228,Indah Purnama,8139014309,"Jl. Gatot Subroto No. 80, Cimahi",Cimahi,Jawa Barat,2023-07-04 03:36:25
SP172518113051,Selesai,,,SHP71907857775,Express,Antar ke counter,2023-07-02 09:14:55,2023-07-01 08:14:55,2023-06-30 09:14:55,2023-06-30 10:40:55,Dana,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,59000,1,0,59000,0,0,0,0.15,1,0.15,Gudang Surabaya,0,0,0,0,0,0,0,0,22000,22000,0,81000,22000,,,hana_wijaya656,Ayu Handayani,8356582608,"Jl. Ahmad Yani No. 88, Bekasi",Bekasi,Jawa Barat,2023-07-04 14:14:55
SP214174292306,Selesai,,,SHP63786261838,Express,Antar ke counter,2023-07-02 09:20:01,2023-07-01 06:20:01,2023-06-30 09:20:01,2023-06-30 12:10:01,Transfer Bank,GDS-SPR-VAN-20,Gendes Feminine Wash Spray Vanilla 20ml,GDS-SPR-VAN-20,Spray 20ml - Vanilla,29000,23000,1,0,23000,6000,2400,3600,0.08,1,0.08,Gudang Jakarta Selatan,0,1000,0,0,0,0,1000,0,22000,22000,0,44000,22000,,,risa_pratama399,Nadia Kusuma,8425261197,"Jl. Diponegoro No. 146, Bontang",Bontang,Kalimantan Timur,2023-07-03 14:20:01
SP508798695814,Selesai,,,SHP38776566384,Standar,Antar ke counter,2023-07-02 09:55:06,2023-07-01 09:55:06,2023-06-30 09:55:06,2023-06-30 12:36:06,COD,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,40000,1,0,40000,19000,7600,11400,0.15,1,0.15,Gudang Surabaya,5000,0,5000,0,0,0,0,0,18000,18000,0,48000,18000,Kemas bubble wrap,,dito_susanto318,Reni Susanto,8185136738,"Jl. Merdeka No. 176, Jakarta Barat",Jakarta Barat,DKI Jakarta,2023-07-04 12:55:06
SP649162916590,Selesai,,,SHP48215798431,Instant,Antar ke counter,2023-07-02 13:40:04,2023-07-01 17:40:04,2023-06-30 13:40:04,2023-06-30 16:08:04,COD,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,49000,2,0,98000,20000,8000,12000,0.15,2,0.3,Gudang Jakarta Selatan,0,2000,0,0,0,0,2000,0,12000,12000,0,108000,12000,,,indah_rahayu276,Nadia Rahayu,8148333540,"Jl. Merdeka No. 29, Magelang",Magelang,Jawa Tengah,2023-07-04 14:40:04
SP903357354262,Selesai,,,SHP78324071916,Instant,Pick-up,2023-07-02 15:02:20,2023-07-01 17:02:20,2023-06-30 15:02:20,2023-06-30 16:59:20,Kartu Kredit,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,51000,3,0,153000,24000,9600,14400,0.15,3,0.45,Gudang Jakarta Selatan,10000,0,0,0,0,0,0,0,8000,8000,0,151000,8000,Jangan sampai bocor,,eka_hartono560,Mega Wibowo,8376295076,"Jl. Gatot Subroto No. 177, Salatiga",Salatiga,Jawa Tengah,2023-07-07 19:02:20
SP429238323118,Selesai,,,SHP16704075271,Express,Antar ke counter,2023-07-02 16:31:38,2023-07-01 20:31:38,2023-06-30 16:31:38,2023-06-30 18:06:38,Kartu Kredit,GDS-SPR-HAZ-60,Gendes Feminine Wash Spray Hazelnut 60ml,GDS-SPR-HAZ-60,Spray 60ml - Hazelnut,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Jakarta Selatan,0,1000,0,0,0,0,1000,0,12000,12000,0,65000,12000,,,eka_putri548,Indah Wijaya,8645649674,"Jl. Merdeka No. 151, Bandung",Bandung,Jawa Barat,2023-07-06 20:31:38
SP427403072296,Selesai,,,SHP12770996621,Hemat,Pick-up,2023-07-02 23:46:33,2023-07-01 19:46:33,2023-06-30 23:46:33,2023-07-01 01:37:33,GoPay,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,55000,1,0,55000,4000,0,4000,0.15,1,0.15,Gudang Bandung,0,2000,0,0,0,0,2000,0,8000,8000,0,61000,8000,,,sari_kurniawan869,Ayu Putri,8815891368,"Jl. Ahmad Yani No. 149, Bogor",Bogor,Jawa Barat,2023-07-09 03:46:33
SP900573198698,Selesai,,,SHP42634712492,Express,Pick-up,2023-07-03 07:25:46,2023-07-02 08:25:46,2023-07-01 07:25:46,2023-07-01 07:33:46,GoPay,GDS-SPR-BUB-20,Gendes Feminine Wash Spray Bubblegum 20ml,GDS-SPR-BUB-20,Spray 20ml - Bubblegum,29000,29000,1,0,29000,0,0,0,0.08,1,0.08,Gudang Bandung,0,0,0,0,0,0,0,0,18000,18000,0,47000,18000,Tolong dikemas rapi,,nova_lestari408,Sari Sari,8216908875,"Jl. Sudirman No. 132, Depok",Depok,Jawa Barat,2023-07-08 08:25:46
SP104650087641,Selesai,,,SHP98568915474,Instant,Antar ke counter,2023-07-03 16:46:09,2023-07-02 20:46:09,2023-07-01 16:46:09,2023-07-01 17:35:09,GoPay,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,55000,2,0,110000,8000,0,8000,0.15,2,0.3,Gudang Medan,0,0,0,0,0,0,0,0,15000,15000,0,125000,15000,Jangan sampai bocor,,nina_purnama951,Sri Kusuma,8745469351,"Jl. Merdeka No. 42, Cimahi",Cimahi,Jawa Barat,2023-07-07 18:46:09
SP742676512162,Dibatalkan,Pembeli meminta pembatalan,Dibatalkan,,Express,Pick-up,2023-07-04 09:41:17,2023-07-03 10:41:17,2023-07-02 09:41:17,,Dana,GDS-FOA-HAZ-60,Gendes Feminine Wash Foam Hazelnut 60ml,GDS-FOA-HAZ-60,Foam 60ml - Hazelnut,59000,58000,1,0,58000,1000,0,1000,0.15,1,0.15,Gudang Medan,0,0,0,0,0,0,0,0,0,0,0,0,22000,,,hana_susanto619,Elsa Handayani,8177170305,"Jl. Gatot Subroto No. 129, Bukittinggi",Bukittinggi,Sumatera Barat,
